encounter_id,boss_name,zone_name,difficulty,difficulty_label,total_wipes,avg_boss_pct,pct_wipes_phase_1,pct_wipes_phase_2,pct_wipes_phase_3_plus,wipes_lt_1min,wipes_1_3min,wipes_3_5min,wipes_5plus_min,last_week_avg_boss_pct,progress_trend
2433,The Eye of the Jailer,Sanctum of Domination,4,Heroic,7,51.1,100.0,0.0,0.0,1,4,0,2,51.1,0.0
2434,Soulrender Dormazain,Sanctum of Domination,4,Heroic,12,28.0,100.0,0.0,0.0,1,1,2,8,8.2,-19.73
2435,Sylvanas Windrunner,Sanctum of Domination,4,Heroic,24,72.0,8.3,45.8,45.8,0,2,2,20,53.0,-18.93
2436,Guardian of the First Ones,Sanctum of Domination,4,Heroic,40,46.5,100.0,0.0,0.0,5,13,16,6,99.1,52.65
2422,Kel'Thuzad,Sanctum of Domination,5,Mythic,79,57.7,100.0,0.0,0.0,0,47,31,1,59.0,1.24
2423,The Tarragrue,Sanctum of Domination,5,Mythic,6,18.1,50.0,50.0,0.0,0,1,2,3,0.1,-18.07
2429,The Nine,Sanctum of Domination,5,Mythic,8,58.4,12.5,87.5,0.0,1,2,2,3,51.7,-6.64
2430,Painsmith Raznal,Sanctum of Domination,5,Mythic,220,53.9,15.5,65.5,19.1,9,88,81,42,41.0,-12.93
2431,Fatescribe Roh-Kalo,Sanctum of Domination,5,Mythic,117,66.5,100.0,0.0,0.0,1,78,24,14,56.1,-10.45
2432,Remnant of Ner'zhul,Sanctum of Domination,5,Mythic,66,46.6,3.0,24.2,72.7,1,27,29,9,40.9,-5.68
2433,The Eye of the Jailer,Sanctum of Domination,5,Mythic,30,52.4,100.0,0.0,0.0,1,13,6,10,49.8,-2.6
2434,Soulrender Dormazain,Sanctum of Domination,5,Mythic,56,56.5,100.0,0.0,0.0,5,17,8,26,43.3,-13.22
2435,Sylvanas Windrunner,Sanctum of Domination,5,Mythic,337,81.9,55.2,28.2,16.6,8,55,145,129,68.0,-13.91
2436,Guardian of the First Ones,Sanctum of Domination,5,Mythic,47,61.3,100.0,0.0,0.0,7,28,12,0,50.9,-10.5
2529,Halondrus the Reclaimer,Sepulcher of the First Ones,3,Normal,2,54.3,50.0,0.0,50.0,0,1,0,1,100.0,45.63
2540,"Dausegne, the Fallen Oracle",Sepulcher of the First Ones,3,Normal,1,100.0,100.0,0.0,0.0,1,0,0,0,100.0,0.0
2542,"Skolex, the Insatiable Ravener",Sepulcher of the First Ones,3,Normal,1,98.9,100.0,0.0,0.0,0,1,0,0,98.9,0.0
2543,Lords of Dread,Sepulcher of the First Ones,3,Normal,6,49.2,100.0,0.0,0.0,0,0,4,2,38.8,-10.35
2546,Anduin Wrynn,Sepulcher of the First Ones,3,Normal,17,60.9,58.8,41.2,0.0,1,6,4,6,60.9,0.0
2549,Rygelon,Sepulcher of the First Ones,3,Normal,2,70.8,100.0,0.0,0.0,0,2,0,0,70.8,0.0
2529,Halondrus the Reclaimer,Sepulcher of the First Ones,4,Heroic,8,75.6,62.5,37.5,0.0,0,7,1,0,67.8,-7.8
2537,The Jailer,Sepulcher of the First Ones,4,Heroic,88,64.7,61.4,22.7,15.9,4,48,15,21,14.0,-50.61
2539,"Lihuvim, Principal Architect",Sepulcher of the First Ones,4,Heroic,17,49.5,100.0,0.0,0.0,1,5,8,3,26.0,-23.49
2540,"Dausegne, the Fallen Oracle",Sepulcher of the First Ones,4,Heroic,17,36.5,100.0,0.0,0.0,1,6,7,3,36.5,0.0
2542,"Skolex, the Insatiable Ravener",Sepulcher of the First Ones,4,Heroic,10,58.3,100.0,0.0,0.0,1,5,4,0,99.9,41.57
2543,Lords of Dread,Sepulcher of the First Ones,4,Heroic,13,43.5,100.0,0.0,0.0,0,2,7,4,13.3,-30.22
2544,Prototype Pantheon,Sepulcher of the First Ones,4,Heroic,35,34.6,8.6,31.4,60.0,0,3,8,24,27.9,-6.72
2546,Anduin Wrynn,Sepulcher of the First Ones,4,Heroic,41,67.6,65.9,29.3,4.9,11,10,12,8,36.8,-30.83
2549,Rygelon,Sepulcher of the First Ones,4,Heroic,55,60.6,100.0,0.0,0.0,15,31,8,1,33.3,-27.29
