player_name,player_class,total_deaths,kills_tracked,deaths_per_kill,most_common_killing_blow,most_common_killing_blow_count,zones_died_in,last_death_timestamp_ms
Альшанди,Druid,5,0,5.0,Reckless Impact,4,"[""Nerub-ar Palace""]",5640964
Talík,Rogue,5,0,5.0,Burrowed Eruption,2,"[""Nerub-ar Palace""]",5643079
Glizzyrider,Monk,34,7,4.86,Double-Minded Fury,4,"[""Liberation of Undermine""]",6208813
Tmi,Warlock,379,79,4.8,Oblivion,61,"[""Manaforge Omega""]",24950889
Enjiedk,DeathKnight,316,68,4.65,Oblivion,31,"[""Manaforge Omega"",""Liberation of Undermine""]",24950623
Piyan,Monk,204,45,4.53,Astral Surge,17,"[""Manaforge Omega""]",11063372
Karllia,Hunter,263,60,4.38,Oblivion,46,"[""Manaforge Omega""]",25131936
Disorders,Warlock,399,99,4.03,Oblivion,48,"[""Manaforge Omega""]",14830097
Katchi,Monk,16,4,4.0,Oblivion,4,"[""Manaforge Omega""]",3810600
Ithassa,Priest,4,0,4.0,Venomous Rain,1,"[""Nerub-ar Palace""]",1230111
